Disciplina;Creditos;Horario;Professor;Vagas;Inscritos;Sobrando
DES0128 (20262NO) - Fundamentos de Direito Público (Período ideal: 2);2;qua 18:20 19:05;(R) Vitor Rhein Schirato;96;114;-18
DES0228 (20262TA) - História e Teoria do Estado de Direito (Período ideal: 4);2;sex 16:20 17:55;Victor Marcel Pinheiro;60;96;-36
DES0234 (20262NO) - Estado Brasileiro: Diversidade Preconceito e Discriminação (Período ideal: 4);2;qui 18:20 19:55;(R) Eunice Aparecida de Jesus Prudente;96;152;-56
DES0236 (20262TA) - HISTÓRIA CONSTITUCIONAL BRASILEIRA (Período ideal: 4);2;seg 16:20 17:55;(R) Carlos Bastide Horbach;120;80;40
DES0342 (20262NO) - Administração Indireta (Período ideal: 6);2;sex 20:00 21:35;Gustavo Henrique Justino de Oliveira;72;94;-22
DES0346 (20262DI) - Bases Normativas da Administração Pública (Período ideal: 6);2;sex 11:15 12:50;Conrado Hubner Mendes;24;20;4
DES0346 (20262NO) - Bases Normativas da Administração Pública (Período ideal: 6);2;sex 18:20 19:55;Conrado Hubner Mendes;96;56;40
DES0350 (20262NO) - Funções Administrativas (Período ideal: 6);4;sex 18:20 21:35;Marina Fontão Zago;48;53;-5
DES0420 (20262NO) - Direito Municipal (Período ideal: 8);2;sex 21:40 23:15 | sex 21:40 23:15;Paulo Henrique Rodrigues Pereira / (R) Floriano Peixoto de Azevedo Marques Neto;48;39;9
DES0436 (20262T1) - Controle de Constitucionalidade (Período ideal: 8);2;qui 13:00 14:35;Conrado Hubner Mendes;60;64;-4
DES0436 (20262T2) - Controle de Constitucionalidade (Período ideal: 8);2;qui 16:20 17:55;Conrado Hubner Mendes;60;48;12
DES0526 (20262DI) - Sistemas Políticos e Eleitorais (Período ideal: 10);2;seg 07:25 09:00 | seg 07:25 09:00;Bruno Cesar Lorencini / Alexandre de Moraes;12;56;-44
DES0526 (20262NO) - Sistemas Políticos e Eleitorais (Período ideal: 10);2;seg 20:00 21:35;Bruno Cesar Lorencini;51;96;-45
DES0538 (20262TA) - Direito Administrativo Interdisciplinar II (Período ideal: 10);2;sex 14:40 16:15 | qui 14:40 16:15 | qua 14:40 16:15 | ter 14:40 16:15 | seg 14:40 16:15;Fernando Dias Menezes de Almeida;30;23;7
DFD0126 (20262TA) - Introdução Histórica à Moderna Teoria do Direito (Período ideal: 2);2;ter 13:50 15:25;Samuel Rodrigues Barbosa;60;95;-35
DFD0138 (20262NO) - Direito da Saúde (Período ideal: 2);4;qua 18:20 21:35 | qua 18:20 21:35;Fernando Mussa Abujamra Aith / (R) Celso Fernandes Campilongo;96;82;14
